image_name,label
oblong_1.jpg,oblong
oblong_2.jpg,oblong
oblong_3.jpg,oblong
oblong_4.jpg,oblong
oblong_5.jpg,oblong
oblong_6.jpg,oblong
oblong_7.jpg,oblong
oblong_8.jpg,oblong
oblong_9.jpg,oblong
oblong_10.jpg,oblong
oblong_11.jpg,oblong
oblong_12.jpg,oblong
oblong_13.jpg,oblong
oblong_14.jpg,oblong
oblong_15.jpg,oblong
oblong_16.jpg,oblong
oblong_17.jpg,oblong
oblong_18.jpg,oblong
oblong_19.jpg,oblong
oblong_20.jpg,oblong
oblong_21.jpg,oblong
oblong_22.jpg,oblong
oblong_23.jpg,oblong
oblong_24.jpg,oblong
oblong_25.jpg,oblong
oblong_26.jpg,oblong
oblong_27.jpg,oblong
oblong_28.jpg,oblong
oblong_29.jpg,oblong
oblong_30.jpg,oblong
oblong_31.jpg,oblong
oblong_32.jpg,oblong
oblong_33.jpg,oblong
oblong_34.jpg,oblong
oblong_35.jpg,oblong
oblong_36.jpg,oblong
oblong_37.jpg,oblong
oblong_38.jpg,oblong
oblong_39.jpg,oblong
oblong_40.jpg,oblong
oblong_41.jpg,oblong
oblong_42.jpg,oblong
oblong_43.jpg,oblong
oblong_44.jpg,oblong
oblong_45.jpg,oblong
oblong_46.jpg,oblong
oblong_47.jpg,oblong
oblong_48.jpg,oblong
oblong_49.jpg,oblong
oblong_50.jpg,oblong
oblong_51.jpg,oblong
oblong_52.jpg,oblong
oblong_53.jpg,oblong
oblong_54.jpg,oblong
oblong_55.jpg,oblong
oblong_56.jpg,oblong
oblong_57.jpg,oblong
oblong_58.jpg,oblong
oblong_59.jpg,oblong
oblong_60.jpg,oblong
oblong_61.jpg,oblong
oblong_62.jpg,oblong
oblong_63.jpg,oblong
oblong_64.jpg,oblong
oblong_65.jpg,oblong
oblong_66.jpg,oblong
oblong_67.jpg,oblong
oblong_68.jpg,oblong
oblong_69.jpg,oblong
oblong_70.jpg,oblong
oblong_71.jpg,oblong
oblong_72.jpg,oblong
oblong_73.jpg,oblong
oblong_74.jpg,oblong
oblong_75.jpg,oblong
oblong_76.jpg,oblong
oblong_77.jpg,oblong
oblong_78.jpg,oblong
oblong_79.jpg,oblong
oblong_80.jpg,oblong
oblong_81.jpg,oblong
oblong_82.jpg,oblong
oblong_83.jpg,oblong
oblong_84.jpg,oblong
oblong_85.jpg,oblong
oblong_86.jpg,oblong
oblong_87.jpg,oblong
oblong_88.jpg,oblong
oblong_89.jpg,oblong
oblong_90.jpg,oblong
oblong_91.jpg,oblong
oblong_92.jpg,oblong
oblong_93.jpg,oblong
oblong_94.jpg,oblong
oblong_95.jpg,oblong
oblong_96.jpg,oblong
oblong_97.jpg,oblong
oblong_98.jpg,oblong
oblong_99.jpg,oblong
oblong_100.jpg,oblong
oblong_101.jpg,oblong
oblong_102.jpg,oblong
oblong_103.jpg,oblong
oblong_104.jpg,oblong
oblong_105.jpg,oblong
oblong_106.jpg,oblong
oblong_107.jpg,oblong
oblong_108.jpg,oblong
oblong_109.jpg,oblong
oblong_110.jpg,oblong
oblong_111.jpg,oblong
oblong_112.jpg,oblong
oblong_113.jpg,oblong
oblong_114.jpg,oblong
oblong_115.jpg,oblong
oblong_116.jpg,oblong
oblong_117.jpg,oblong
oblong_118.jpg,oblong
oblong_119.jpg,oblong
oblong_120.jpg,oblong
oblong_121.jpg,oblong
oblong_122.jpg,oblong
oblong_123.jpg,oblong
oblong_124.jpg,oblong
oblong_125.jpg,oblong
oblong_126.jpg,oblong
oblong_127.jpg,oblong
oblong_128.jpg,oblong
oblong_129.jpg,oblong
oblong_130.jpg,oblong
oblong_131.jpg,oblong
oblong_132.jpg,oblong
oblong_133.jpg,oblong
oblong_134.jpg,oblong
oblong_135.jpg,oblong
oblong_136.jpg,oblong
oblong_137.jpg,oblong
oblong_138.jpg,oblong
oblong_139.jpg,oblong
oblong_140.jpg,oblong
oblong_141.jpg,oblong
oblong_142.jpg,oblong
oblong_143.jpg,oblong
oblong_144.jpg,oblong
